Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
95,California,09/30/2018,59835.0,79.66,16.46,57.01,10.15,237.0,4560.0,101.0,257.6,387.0,503692.0,406269.0,353414.0,13.98
96,California,12/31/2018,61389.0,80.01,16.92,57.53,10.1,368.0,6239.0,85.0,290.99,557.0,511841.0,415612.0,364217.0,13.89
97,California,03/31/2019,63099.0,79.42,16.82,57.36,10.24,69.0,1634.0,84.0,254.83,129.0,523773.0,425470.0,368346.0,13.98
98,California,06/30/2019,64709.0,78.48,16.95,57.29,10.22,141.0,3281.0,77.0,241.96,271.0,538940.0,435390.0,378756.0,13.91
99,California,09/30/2019,67229.0,79.59,17.09,57.86,10.17,278.0,4953.0,97.0,241.1,455.0,563382.0,457086.0,391300.0,13.81
100,California,12/31/2019,68403.0,79.69,17.34,58.3,9.99,409.0,6615.0,91.0,243.24,640.0,576230.0,466095.0,400823.0,13.86
101,California,03/31/2020,68603.0,77.37,16.93,56.91,9.87,149.0,-383.0,105.0,300.9,766.0,601837.0,475990.0,414570.0,13.63
102,California,06/30/2020,68523.0,81.53,16.21,54.52,9.27,247.0,789.0,101.0,275.73,1601.0,646885.0,532848.0,436836.0,13.72
103,California,09/30/2020,70436.0,84.15,16.44,55.25,9.18,387.0,2397.0,127.0,289.56,1925.0,660844.0,550683.0,440294.0,13.98
104,California,12/31/2020,42763.0,74.3,13.19,64.25,11.12,490.0,3530.0,169.0,227.19,570.0,372092.0,310164.0,260536.0,15.62
105,California,03/31/2021,76039.0,86.73,15.5,53.92,9.2,139.0,2154.0,113.0,267.57,-71.0,758290.0,647352.0,466520.0,14.46
106,California,06/30/2021,79661.0,87.93,15.36,54.73,8.93,192.0,4389.0,104.0,281.01,-164.0,801179.0,691608.0,472287.0,14.55
107,California,09/30/2021,84524.0,88.35,15.38,56.01,8.94,278.0,6519.0,116.0,306.7,-180.0,854759.0,741487.0,486952.0,14.75
108,California,12/31/2021,87811.0,89.96,15.54,56.53,8.92,301.0,8790.0,60.0,353.04,-124.0,891546.0,779536.0,503663.0,14.73
109,California,03/31/2022,85415.0,89.78,16.39,57.97,8.94,42.0,2364.0,58.0,338.82,-8.0,897492.0,785386.0,518640.0,14.52
110,California,06/30/2022,84812.0,87.77,17.54,59.13,9.09,76.0,4790.0,69.0,347.09,271.0,906720.0,780715.0,544891.0,14.25
111,California,09/30/2022,82820.0,84.08,18.38,59.46,9.16,135.0,7432.0,81.0,331.77,486.0,911610.0,770663.0,561281.0,14.13
112,California,12/31/2022,84402.0,79.82,18.96,59.92,9.11,244.0,9010.0,80.0,308.93,776.0,916798.0,759541.0,577635.0,13.99
113,California,03/31/2023,59675.0,55.18,24.36,63.97,9.53,102.0,-231.0,74.0,409.71,143.0,637181.0,425159.0,449751.0,13.9
114,California,06/30/2023,41599.0,69.66,13.08,62.4,10.33,164.0,185.0,77.0,302.03,221.0,398734.0,322004.0,271951.0,15.06
115,California,09/30/2023,41478.0,70.72,13.28,62.7,10.54,280.0,1260.0,106.0,324.7,325.0,396708.0,321663.0,271536.0,15.28
116,California,12/31/2023,44376.0,70.42,13.44,63.35,10.74,373.0,1547.0,122.0,319.85,509.0,397310.0,320783.0,277937.0,15.28
117,California,03/31/2024,43880.0,71.28,13.16,63.72,10.81,97.0,818.0,138.0,272.36,97.0,388502.0,317675.0,270551.0,15.36
118,California,06/30/2024,44466.0,71.71,13.13,63.96,11.02,241.0,1799.0,150.0,254.12,243.0,389844.0,320827.0,272934.0,15.44
119,California,09/30/2024,45762.0,75.28,12.7,64.11,11.07,329.0,2714.0,147.0,235.43,387.0,388786.0,322402.0,271222.0,15.67
120,California,12/31/2024,42763.0,74.3,13.19,64.25,11.12,490.0,3530.0,169.0,227.19,570.0,372092.0,310164.0,260536.0,15.62
121,New York,03/31/1995,37516.0,31.0,7.85,21.74,6.46,343.0,755.0,1050.0,134.92,345.0,602151.0,319494.0,261629.0,12.74
